iter	Passed	Remaining
0	0	75
1	1	74
2	2	73
3	2	68
4	3	66
5	4	64
6	4	63
7	5	62
8	6	60
9	6	59
10	7	58
11	8	58
12	8	58
13	9	58
14	10	57
15	10	56
16	11	55
17	11	54
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	49
25	17	48
26	17	48
27	18	47
28	18	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	29	35
45	29	34
46	30	34
47	31	33
48	32	33
49	32	32
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	29
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	66	0
